Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/e4/network_e4_without_symmetries.net
s198	: S(p1~P!1,p2~P!2,p3~P!3,p4~P!4).F(s!2).F(s!4).F(s!3).F(s!1)
s199	: S(p1~P!1,p2~P,p3~P!2,p4~U).F(s!2).F(s!1)
s200	: S(p1~P,p2~P,p3~P!1,p4~U).F(s!1)
s201	: S(p1~P!1,p2~P!2,p3~P!3,p4~U).F(s!2).F(s!3).F(s!1)
s202	: S(p1~P!1,p2~P!2,p3~P,p4~U).F(s!2).F(s!1)
s203	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U!1).F(s!3).F(s!4).F(s!2)
s204	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U!1).F(s!2).F(s!3)
s205	: E(s!1).S(p1~P!2,p2~U,p3~U,p4~U!1).F(s!2)
s206	: E(s!1).S(p1~P!2,p2~U,p3~U!3,p4~U!1).F(s!2).E(s!3)
s207	: S(p1~P!1,p2~U,p3~U,p4~U).F(s!1)
s208	: S(p1~P!1,p2~U,p3~U,p4~P).F(s!1)
s209	: E(s!1).S(p1~P!2,p2~U!1,p3~U,p4~P).F(s!2)
s210	: E(s!1).S(p1~P!2,p2~U,p3~U!1,p4~P).F(s!2)
s211	: S(p1~P!1,p2~U,p3~U,p4~P!2).F(s!2).F(s!1)
s212	: E(s!1).S(p1~P!2,p2~U,p3~U!1,p4~P!3).F(s!3).F(s!2)
s213	: E(s!1).S(p1~P,p2~U,p3~U!1,p4~P!2).F(s!2)
s214	: E(s!1).S(p1~P!2,p2~U!3,p3~U!1,p4~P!4).F(s!2).E(s!3).F(s!4)
s215	: E(s!1).S(p1~P!2,p2~U,p3~U!1,p4~U).F(s!2)
s216	: E(s!1).S(p1~P!2,p2~U!3,p3~U!1,p4~U).F(s!2).E(s!3)
s217	: E(s!1).S(p1~U,p2~U!2,p3~U!1,p4~U).E(s!2)
s218	: E(s!1).S(p1~P!2,p2~U!1,p3~P,p4~U).F(s!2)
s219	: E(s!1).S(p1~P!2,p2~U!1,p3~P!3,p4~U).F(s!2).F(s!3)
s220	: E(s!1).S(p1~P!2,p2~U!3,p3~P,p4~U!1).F(s!2).E(s!3)
s221	: E(s!1).S(p1~P!2,p2~U,p3~P,p4~U!1).F(s!2)
s222	: E(s!1).S(p1~P!2,p2~U!3,p3~P!4,p4~U!1).F(s!2).E(s!3).F(s!4)
s223	: E(s!1).S(p1~P!2,p2~U!1,p3~P,p4~P).F(s!2)
s224	: S(p1~P!1,p2~U,p3~P,p4~P).F(s!1)
s225	: E(s!1).S(p1~P!2,p2~U!1,p3~P,p4~P!3).F(s!2).F(s!3)
s226	: E(s!1).S(p1~U!1,p2~U!2,p3~U!3,p4~U).E(s!3).E(s!2)
s227	: E(s!1).S(p1~U,p2~U!2,p3~U!1,p4~U!3).E(s!3).E(s!2)
s228	: E(s!1).S(p1~U!1,p2~U!2,p3~U!3,p4~U!4).E(s!4).E(s!3).E(s!2)
s229	: E(s!1).S(p1~U,p2~U!2,p3~U!1,p4~P).E(s!2)
s230	: E(s!1).S(p1~U!1,p2~U!2,p3~U!3,p4~P).E(s!3).E(s!2)
s231	: E(s!1).S(p1~U!1,p2~U,p3~U!2,p4~P).E(s!2)
s232	: E(s!1).S(p1~U!1,p2~P,p3~U!2,p4~P).E(s!2)
s233	: E(s!1).S(p1~U!1,p2~U!2,p3~U,p4~P).E(s!2)
s234	: E(s!1).S(p1~U!1,p2~U!2,p3~P,p4~P).E(s!2)
s235	: E(s!1).S(p1~U!1,p2~U!2,p3~U!3,p4~P!4).F(s!4).E(s!3).E(s!2)
s236	: E(s!1).S(p1~U!1,p2~U!2,p3~U,p4~P!3).F(s!3).E(s!2)
s237	: E(s!1).S(p1~U!1,p2~U!2,p3~P,p4~P!3).F(s!3).E(s!2)
s238	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~P!2).F(s!2)
s239	: E(s!1).S(p1~U!1,p2~U!2,p3~P,p4~U).E(s!2)
s240	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~U)
s241	: E(s!1).S(p1~U!1,p2~U!2,p3~P,p4~U!3).E(s!3).E(s!2)
s242	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~U!2).E(s!2)
s243	: E(s!1).S(p1~U!1,p2~U!2,p3~P!3,p4~U!4).F(s!3).E(s!4).E(s!2)
s244	: E(s!1).S(p1~U!1,p2~U!2,p3~U,p4~U!3).E(s!3).E(s!2)
s245	: E(s!1).S(p1~U!1,p2~U!2,p3~U,p4~U).E(s!2)
s246	: E(s!1).S(p1~U!1,p2~P,p3~U,p4~U)
s247	: E(s!1).S(p1~U!1,p2~P,p3~P,p4~P)
s248	: E(s!1).S(p1~U!1,p2~P,p3~P!2,p4~P).F(s!2)
s249	: S(p1~P,p2~P,p3~P,p4~U)
s250	: E(s!1).S(p1~U!1,p2~U,p3~P,p4~P)
s251	: E(s!1).S(p1~U!1,p2~U,p3~U!2,p4~U!3).E(s!3).E(s!2)
s252	: E(s!1).S(p1~U!1,p2~P,p3~U!2,p4~U!3).E(s!3).E(s!2)
s253	: E(s!1).S(p1~U!1,p2~U,p3~U!2,p4~U).E(s!2)
s254	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U!1).F(s!2)
s255	: S(p1~P!1,p2~U,p3~P!2,p4~P!3).F(s!2).F(s!3).F(s!1)
s256	: E(s!1).S(p1~P!2,p2~P!3,p3~U!1,p4~P).F(s!2).F(s!3)
s257	: E(s!1).S(p1~U!2,p2~P!3,p3~U!1,p4~P!4).F(s!3).E(s!2).F(s!4)
