Correspondence between the short and original species names from:
	/Users/quyen/KaSim/models/CMSB2017_tool_paper/multisite_phos/network_e9_with_fsym.net
s106	: S(p1~P,p2~P,p3~P!1,p4~P!2,p5~U,p6~U,p7~U,p8~U,p9~U).F(s!2).F(s!1)
s107	: S(p1~P,p2~P!1,p3~P!2,p4~P!3,p5~U,p6~U,p7~U,p8~U,p9~U).F(s!3).F(s!2).F(s!1)
s108	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~P!3,p5~U,p6~U,p7~U,p8~U,p9~U!1).F(s!3).F(s!2)
s109	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~U,p6~U,p7~U,p8~U,p9~U!1).F(s!4).F(s!3).F(s!2)
s110	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~P!5,p5~U,p6~U,p7~U,p8~U,p9~U!1).F(s!2).F(s!5).F(s!4).F(s!3)
s111	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U,p5~U,p6~U,p7~U,p8~U,p9~U!1).F(s!3).F(s!2)
s112	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~P!4,p5~U,p6~U,p7~U,p8~U!1,p9~U!5).F(s!4).E(s!5).F(s!3).F(s!2)
s113	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~P!5,p5~U,p6~U,p7~U,p8~U!6,p9~U!1).F(s!2).E(s!6).F(s!5).F(s!4).F(s!3)
s114	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U,p5~U,p6~U,p7~U,p8~U!1,p9~U!4).F(s!3).E(s!4).F(s!2)
s115	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U,p5~U,p6~U,p7~U,p8~U!5,p9~U!1).F(s!2).E(s!5).F(s!4).F(s!3)
s116	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!1,p9~U!3).F(s!2).E(s!3)
s117	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U,p5~U,p6~U,p7~U,p8~U!4,p9~U!1).F(s!2).E(s!4).F(s!3)
s118	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U,p5~U,p6~U,p7~U!1,p8~U!3,p9~U!4).F(s!2).E(s!4).E(s!3)
s119	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U,p5~U,p6~U,p7~U!4,p8~U!5,p9~U!1).F(s!2).E(s!5).F(s!3).E(s!4)
s120	: E(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~U,p6~U,p7~U!1,p8~U!2,p9~U!3).E(s!3).E(s!2)
s121	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U,p5~U,p6~U!1,p7~U!3,p8~U!4,p9~U!5).F(s!2).E(s!5).E(s!4).E(s!3)
s122	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U,p5~U,p6~U!4,p7~U!5,p8~U!6,p9~U!1).F(s!2).E(s!6).F(s!3).E(s!5).E(s!4)
s123	: E(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~U,p6~U!1,p7~U!2,p8~U!3,p9~U!4).E(s!4).E(s!3).E(s!2)
s124	: E(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~U,p6~U!1,p7~U!2,p8~U!3,p9~U!4).E(s!4).E(s!3).E(s!2)
s125	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U,p5~U!1,p6~U!3,p7~U!4,p8~U!5,p9~U!6).F(s!2).E(s!6).E(s!5).E(s!4).E(s!3)
s126	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U,p5~U!4,p6~U!5,p7~U!6,p8~U!7,p9~U!1).F(s!2).E(s!7).F(s!3).E(s!6).E(s!5).E(s!4)
s127	: E(s!1).S(p1~P,p2~P,p3~U,p4~U,p5~U!1,p6~U!2,p7~U!3,p8~U!4,p9~U!5).E(s!5).E(s!4).E(s!3).E(s!2)
s128	: E(s!1).S(p1~P,p2~U,p3~U,p4~U,p5~U!1,p6~U!2,p7~U!3,p8~U!4,p9~U!5).E(s!5).E(s!4).E(s!3).E(s!2)
s129	: E(s!1).S(p1~P,p2~P!2,p3~U,p4~U!1,p5~U!3,p6~U!4,p7~U!5,p8~U!6,p9~U!7).F(s!2).E(s!7).E(s!6).E(s!5).E(s!4).E(s!3)
s130	: E(s!1).S(p1~P!2,p2~P!3,p3~U,p4~U!4,p5~U!5,p6~U!6,p7~U!7,p8~U!8,p9~U!1).F(s!2).E(s!8).F(s!3).E(s!7).E(s!6).E(s!5).E(s!4)
s131	: E(s!1).S(p1~P,p2~P,p3~U,p4~U!1,p5~U!2,p6~U!3,p7~U!4,p8~U!5,p9~U!6).E(s!6).E(s!5).E(s!4).E(s!3).E(s!2)
s132	: E(s!1).S(p1~P,p2~U,p3~U,p4~U!1,p5~U!2,p6~U!3,p7~U!4,p8~U!5,p9~U!6).E(s!6).E(s!5).E(s!4).E(s!3).E(s!2)
s133	: E(s!1).S(p1~P,p2~P!2,p3~U!3,p4~U!4,p5~U!5,p6~U!6,p7~U!7,p8~U!8,p9~U!1).F(s!2).E(s!8).E(s!7).E(s!6).E(s!5).E(s!4).E(s!3)
s134	: E(s!1).S(p1~P!2,p2~P!3,p3~U!4,p4~U!5,p5~U!6,p6~U!7,p7~U!8,p8~U!9,p9~U!1).F(s!2).E(s!9).F(s!3).E(s!8).E(s!7).E(s!6).E(s!5).E(s!4)
s135	: E(s!1).S(p1~P,p2~P,p3~U!2,p4~U!1,p5~U!3,p6~U!4,p7~U!5,p8~U!6,p9~U!7).E(s!7).E(s!6).E(s!5).E(s!4).E(s!3).E(s!2)
s136	: E(s!1).S(p1~P,p2~U,p3~U!2,p4~U!1,p5~U!3,p6~U!4,p7~U!5,p8~U!6,p9~U!7).E(s!7).E(s!6).E(s!5).E(s!4).E(s!3).E(s!2)
s137	: E(s!1).S(p1~P,p2~P,p3~P!2,p4~U!1,p5~U!3,p6~U!4,p7~U!5,p8~U!6,p9~U!7).F(s!2).E(s!7).E(s!6).E(s!5).E(s!4).E(s!3)
s138	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U!1,p5~U!4,p6~U!5,p7~U!6,p8~U!7,p9~U!8).F(s!3).E(s!8).F(s!2).E(s!7).E(s!6).E(s!5).E(s!4)
s139	: E(s!1).S(p1~P!2,p2~P!3,p3~P!4,p4~U!5,p5~U!6,p6~U!7,p7~U!8,p8~U!9,p9~U!1).F(s!2).E(s!9).F(s!4).F(s!3).E(s!8).E(s!7).E(s!6).E(s!5)
s140	: E(s!1).S(p1~P,p2~P!2,p3~P!3,p4~U,p5~U!4,p6~U!5,p7~U!6,p8~U!7,p9~U!1).F(s!2).E(s!7).F(s!3).E(s!6).E(s!5).E(s!4)
