# Output of 'KaSim' 'essai.ka' -seed 757727998
# "uuid" : "927185018"
"[T]","'=-2'","'=-1'","'=0'","'=1'","'=2'","'>=-2'","'>=-1'","'>=0'","'>=1'","'>=2'","'<=-2'","'<=-1'","'<=0'","'<=1'","'<=2'"
48.,53,30,18,10,27,138,85,55,37,27,53,83,101,111,138
49.,52,37,18,11,25,143,91,54,36,25,52,89,107,118,143
50.,52,21,22,13,18,126,74,53,31,18,52,73,95,108,126
51.,50,31,14,14,24,133,83,52,38,24,50,81,95,109,133
52.,44,30,16,19,30,139,95,65,49,30,44,74,90,109,139
53.,46,20,17,12,27,122,76,56,39,27,46,66,83,95,122
54.,55,38,19,13,26,151,96,58,39,26,55,93,112,125,151
55.,50,49,28,13,30,170,120,71,43,30,50,99,127,140,170
56.,47,26,19,15,46,153,106,80,61,46,47,73,92,107,153
57.,43,25,16,15,25,124,81,56,40,25,43,68,84,99,124
58.,45,32,26,11,31,145,100,68,42,31,45,77,103,114,145
59.,55,36,14,15,29,149,94,58,44,29,55,91,105,120,149
60.,54,16,20,13,30,133,79,63,43,30,54,70,90,103,133
61.,45,35,27,11,28,146,101,66,39,28,45,80,107,118,146
62.,55,36,23,10,31,155,100,64,41,31,55,91,114,124,155
63.,62,42,14,8,37,163,101,59,45,37,62,104,118,126,163
64.,47,36,19,15,32,149,102,66,47,32,47,83,102,117,149
65.,40,37,27,10,34,148,108,71,44,34,40,77,104,114,148
66.,50,26,16,12,37,141,91,65,49,37,50,76,92,104,141
67.,52,30,19,14,25,140,88,58,39,25,52,82,101,115,140
68.,49,41,24,8,21,143,94,53,29,21,49,90,114,122,143
69.,55,34,19,19,20,147,92,58,39,20,55,89,108,127,147
70.,45,32,24,14,24,139,94,62,38,24,45,77,101,115,139
71.,53,38,31,11,18,151,98,60,29,18,53,91,122,133,151
72.,52,31,22,22,15,142,90,59,37,15,52,83,105,127,142
73.,43,29,21,18,24,135,92,63,42,24,43,72,93,111,135
74.,48,33,17,13,27,138,90,57,40,27,48,81,98,111,138
75.,40,22,19,14,28,123,83,61,42,28,40,62,81,95,123
76.,58,30,17,13,30,148,90,60,43,30,58,88,105,118,148
77.,44,30,19,11,33,137,93,63,44,33,44,74,93,104,137
78.,52,28,23,14,20,137,85,57,34,20,52,80,103,117,137
79.,48,32,14,13,25,132,84,52,38,25,48,80,94,107,132
80.,45,28,19,13,23,128,83,55,36,23,45,73,92,105,128
81.,46,38,21,15,22,142,96,58,37,22,46,84,105,120,142
82.,43,31,19,14,34,141,98,67,48,34,43,74,93,107,141
83.,42,27,14,13,34,130,88,61,47,34,42,69,83,96,130
84.,48,19,22,12,42,143,95,76,54,42,48,67,89,101,143
85.,36,28,9,22,31,126,90,62,53,31,36,64,73,95,126
86.,65,21,17,8,17,128,63,42,25,17,65,86,103,111,128
87.,40,32,25,19,24,140,100,68,43,24,40,72,97,116,140
88.,44,32,20,17,26,139,95,63,43,26,44,76,96,113,139
89.,56,25,25,9,18,133,77,52,27,18,56,81,106,115,133
90.,50,33,22,9,26,140,90,57,35,26,50,83,105,114,140
91.,42,28,19,9,32,130,88,60,41,32,42,70,89,98,130
92.,47,26,18,20,25,136,89,63,45,25,47,73,91,111,136
93.,60,24,16,11,32,143,83,59,43,32,60,84,100,111,143
94.,49,32,18,13,21,133,84,52,34,21,49,81,99,112,133
95.,40,38,13,10,38,139,99,61,48,38,40,78,91,101,139
96.,49,31,30,14,30,154,105,74,44,30,49,80,110,124,154
97.,53,23,14,11,42,143,90,67,53,42,53,76,90,101,143
98.,38,31,13,12,29,123,85,54,41,29,38,69,82,94,123
99.,46,32,13,12,24,127,81,49,36,24,46,78,91,103,127
100.,49,32,13,11,25,130,81,49,36,25,49,81,94,105,130
101.,45,30,15,11,23,124,79,49,34,23,45,75,90,101,124
102.,48,35,23,11,23,140,92,57,34,23,48,83,106,117,140
103.,42,29,29,11,34,145,103,74,45,34,42,71,100,111,145
104.,64,28,20,12,31,155,91,63,43,31,64,92,112,124,155
105.,36,34,11,9,34,124,88,54,43,34,36,70,81,90,124
106.,47,23,19,10,19,118,71,48,29,19,47,70,89,99,118
107.,52,27,16,18,18,131,79,52,36,18,52,79,95,113,131
108.,43,33,17,16,24,133,90,57,40,24,43,76,93,109,133
109.,44,30,17,17,27,135,91,61,44,27,44,74,91,108,135
110.,46,21,18,12,30,127,81,60,42,30,46,67,85,97,127
111.,61,27,22,5,40,155,94,67,45,40,61,88,110,115,155
112.,48,33,23,18,28,150,102,69,46,28,48,81,104,122,150
113.,40,32,16,14,26,128,88,56,40,26,40,72,88,102,128
114.,57,29,19,14,25,144,87,58,39,25,57,86,105,119,144
115.,46,32,17,16,28,139,93,61,44,28,46,78,95,111,139
116.,47,28,21,12,33,141,94,66,45,33,47,75,96,108,141
117.,49,33,14,15,36,147,98,65,51,36,49,82,96,111,147
